StepId,RecipeId,StepNumber,StepText
141,32,4,"Tiếp tục cho hết cần tây, thơm, cà chua, hành tây vào xào lửa to. Cho bột nêm, tiêu vào. Cho mực vào đảo nhanh. Tất cả đều chín tới thì cho ra dĩa. Đừng xào quá lâu mực sẽ ra nước và mất ngọt."
142,33,1,"Ngâm nấm mèo trong nước ấm 15 phút cho nở, rửa sạch, cắt sợi."
143,33,2,"Cải rổ rửa sạch. Lá và ngọn non cắt khúc vừa ăn, chẻ nhỏ ngọn cho mau chín. Cuống to gọt vỏ cứng, xắt lát mỏng."
144,33,3,"Đun sôi nước, cho cải rổ vào trụng 1 phút, vớt ra ngâm ngay vào thau nước đá."
145,33,4,"Trụng nấm mèo trong nước sôi 30 giây, vớt ra để ráo."
146,33,5,Phi thơm hành tỏi (hoặc poro) với dầu ăn.
147,33,6,"Cho cải rổ và nấm mèo vào xào nhanh tay, nêm nước tương, muối, tiêu xay. Đảo đều 1-2 phút."
148,33,7,"Tắt bếp, rưới dầu mè lên, trộn đều rồi dọn ra đĩa."
149,34,1,"Sơ chế :Cà rốt gọt vỏ, rửa sạch,thái hạt lựu. Bắp rửa sạch, tách hạt. Đậu que rửa sạch,cắt hai đầu, xắt nhỏ."
150,34,2,"Cho rau củ vào nồi, đổ 150 ml nước vào, nấu 10-15 phút."
151,34,3,"Làm nóng chảo, cho dầu ăn vào. Cho cơm nguội vào chảo, chiên trong 10 phút."
152,34,4,"Trộn cơm và rau củ lại, cho gia vị vào và xào trong 5 phút."
153,34,5,"Bày ra đĩa, trang trí. Vậy là bạn đã có một đĩa cơm chiên chay rau củ ngon lành, bổ dưỡng rồi!"
154,35,1,"Cà rốt gọt vỏ, cắt hạt lựu nhỏ. Hành lá rửa sạch, cắt nhỏ."
155,35,2,"Đun nóng dầu ăn phi thơm hành tím, cho thịt băm vào xào tơi. Nêm xíu muối."
156,35,3,Thêm cà rốt vào xào cùng thịt khoảng 2 phút.
157,35,4,"Trong nồi khác: Đổ nước vào nồi, đun sôi. Cho nui chữ vào luộc 5 phút theo hướng dẫn. Đổ ra rổ inox dội nước lạnh để ráo."
158,35,5,"Khi nước sôi, cho nui vào, sôi lại nêm xíu nước mắm là được."
159,35,6,"Cho hành lá vào, tắt bếp, múc ra bát và thưởng thức."
160,36,1,"Trộn bột mì với nước cho mịn, thêm trứng, bắp cải, cá ngừ đã bỏ nước ngâm, tôm vào trộn đều."
