RecipeId,IngredientId,Quantity,IngredientName,tokens,IngredientClean,IngredientProcessed
24,149,,dưa leo,"['dưa', 'leo']",dưa leo,dưa_leo
25,150,100 g,cá cơm trắng,"['cá', 'cơm', 'trắng']",cá cơm trắng,cá_cơm_trắng
25,151,1 bó,rau dền,"['rau', 'dền']",rau dền,rau_dền
25,152,1 miếng,gừng,['gừng'],gừng,gừng
25,153,,gia vị,['gia vị'],gia vị,gia_vị
26,154,200 g,đậu cô ve,"['đậu', 'cô', 've']",đậu cô ve,đậu_cô_ve
26,155,2 quả,cà chua,"['cà', 'chua']",cà chua,cà_chua
26,156,200 g,bắp,['bắp'],bắp,bắp
26,157,100 g,thịt bò,"['thịt', 'bò']",thịt bò,thịt_bò
26,158,1 củ,hành,['hành'],hành,hành
26,159,1 muỗng canh,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
26,160,1/2 muỗng cà phê,muối,['muối'],muối,muối
26,161,1 muỗng cà phê,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
26,162,1/2 muỗng cà phê,hạt nêm,"['hạt', 'nêm']",hạt nêm,hạt_nêm
27,163,"1,5 kg",gà,['gà'],gà,gà
27,164,6 cây,sả,['sả'],sả,sả
27,165,4 trái,ớt,['ớt'],ớt,ớt
27,166,1 củ (100g),hành tây,['hành tây'],hành tây,hành_tây
27,167,3 muỗng canh,nước mắm,"['nước', 'mắm']",nước mắm,nước_mắm
27,168,1 muỗng canh,đường,['đường'],đường,đường
27,169,2 muỗng canh,tương ớt,['tương ớt'],tương ớt,tương_ớt
27,170,2 muỗng canh,dầu ăn,"['dầu', 'ăn']",dầu ăn,dầu_ăn
27,171,2 muỗng canh,dầu hào,"['dầu', 'hào']",dầu hào,dầu_hào
27,172,1 củ,tỏi,['tỏi'],tỏi,tỏi
27,173,3 củ,hành tím,"['hành', 'tím']",hành tím,hành_tím
28,174,1.6 kg,tôm,['tôm'],tôm,tôm
28,175,1 mcf,muối,['muối'],muối,muối
29,176,500 g,măng củ,['măng'],măng,măng
29,177,150 g,nấm rơm,"['nấm', 'rơm']",nấm rơm,nấm_rơm
29,178,100 g,củ ngưu bàng,"['ngưu', 'bàng']",ngưu bàng,ngưu_bàng
29,179,1 thìa cà phê,muối,['muối'],muối,muối
29,180,1 thìa canh,hạt nêm,"['hạt', 'nêm']",hạt nêm,hạt_nêm
29,181,,rau mùi,"['rau', 'mùi']",rau mùi,rau_mùi
30,182,300 gr,bí xanh,"['bí', 'xanh']",bí xanh,bí_xanh
