StepImageId,StepId,ImageUrl
81,60,https://img-global.cpcdn.com/steps/43b04ee81f65b5b3/160x128cq80/th%E1%BB%8Bt-bo-xao-su-hao-recipe-step-2-photo.jpg
82,61,https://img-global.cpcdn.com/steps/49e84a53ccc38628/160x128cq80/th%E1%BB%8Bt-bo-xao-su-hao-recipe-step-3-photo.jpg
83,62,https://img-global.cpcdn.com/steps/ee9b24b9ebec8f78/160x128cq80/th%E1%BB%8Bt-bo-xao-su-hao-recipe-step-4-photo.jpg
84,62,https://img-global.cpcdn.com/steps/ab5266e0b736721f/160x128cq80/th%E1%BB%8Bt-bo-xao-su-hao-recipe-step-4-photo.jpg
85,63,https://img-global.cpcdn.com/steps/82e46d5c8b743c6e/160x128cq80/th%E1%BB%8Bt-bo-xao-su-hao-recipe-step-5-photo.jpg
86,63,https://img-global.cpcdn.com/steps/b6b61e5fcc0e7998/160x128cq80/th%E1%BB%8Bt-bo-xao-su-hao-recipe-step-5-photo.jpg
87,64,https://img-global.cpcdn.com/steps/2569334cbaa46af7/160x128cq80/ca-n%E1%BB%A5c-h%E1%BA%A5p-chien-gion-recipe-step-1-photo.jpg
88,64,https://img-global.cpcdn.com/steps/0cd12d017f5735ed/160x128cq80/ca-n%E1%BB%A5c-h%E1%BA%A5p-chien-gion-recipe-step-1-photo.jpg
89,65,https://img-global.cpcdn.com/steps/e6aa564cd31f5a33/160x128cq80/ca-n%E1%BB%A5c-h%E1%BA%A5p-chien-gion-recipe-step-2-photo.jpg
90,66,https://img-global.cpcdn.com/steps/6e8cc1b9c23974c4/160x128cq80/ca-n%E1%BB%A5c-h%E1%BA%A5p-chien-gion-recipe-step-3-photo.jpg
91,67,https://img-global.cpcdn.com/steps/b5b801db1ef06696/160x128cq80/canh-khoai-mon-n%E1%BA%A5u-duoi-heo-recipe-step-1-photo.jpg
92,68,https://img-global.cpcdn.com/steps/6edf60e577517313/160x128cq80/canh-khoai-mon-n%E1%BA%A5u-duoi-heo-recipe-step-2-photo.jpg
93,68,https://img-global.cpcdn.com/steps/630249204ca94198/160x128cq80/canh-khoai-mon-n%E1%BA%A5u-duoi-heo-recipe-step-2-photo.jpg
94,69,https://img-global.cpcdn.com/steps/4a1bc7747021a897/160x128cq80/canh-khoai-mon-n%E1%BA%A5u-duoi-heo-recipe-step-3-photo.jpg
95,69,https://img-global.cpcdn.com/steps/c61ff7c47a15a45c/160x128cq80/canh-khoai-mon-n%E1%BA%A5u-duoi-heo-recipe-step-3-photo.jpg
96,69,https://img-global.cpcdn.com/steps/a9c29a8cce18fb95/160x128cq80/canh-khoai-mon-n%E1%BA%A5u-duoi-heo-recipe-step-3-photo.jpg
97,71,https://img-global.cpcdn.com/steps/ddd419fc1aa890e4/160x128cq80/ch%E1%BA%A3-%E1%BB%A9c-ga-n%E1%BA%A5m-h%C6%B0%C6%A1ng-recipe-step-2-photo.jpg
98,72,https://img-global.cpcdn.com/steps/5a2bc37de7c4fad3/160x128cq80/ch%E1%BA%A3-%E1%BB%A9c-ga-n%E1%BA%A5m-h%C6%B0%C6%A1ng-recipe-step-3-photo.jpg
99,73,https://img-global.cpcdn.com/steps/91b4650936b11e03/160x128cq80/ch%E1%BA%A3-%E1%BB%A9c-ga-n%E1%BA%A5m-h%C6%B0%C6%A1ng-recipe-step-4-photo.jpg
100,74,https://img-global.cpcdn.com/steps/c7ddeaeba871811a/160x128cq80/ch%E1%BA%A3-%E1%BB%A9c-ga-n%E1%BA%A5m-h%C6%B0%C6%A1ng-recipe-step-5-photo.jpg
101,75,https://img-global.cpcdn.com/steps/93c119de10706339/160x128cq80/ch%E1%BA%A3-%E1%BB%A9c-ga-n%E1%BA%A5m-h%C6%B0%C6%A1ng-recipe-step-6-photo.jpg
102,76,https://img-global.cpcdn.com/steps/8dfaa345a5f14c29/160x128cq80/ch%E1%BA%A3-%E1%BB%A9c-ga-n%E1%BA%A5m-h%C6%B0%C6%A1ng-recipe-step-7-photo.jpg
103,76,https://img-global.cpcdn.com/steps/d26250dcaea4d9d1/160x128cq80/ch%E1%BA%A3-%E1%BB%A9c-ga-n%E1%BA%A5m-h%C6%B0%C6%A1ng-recipe-step-7-photo.jpg
104,76,https://img-global.cpcdn.com/steps/b0078736b79ac6ac/160x128cq80/ch%E1%BA%A3-%E1%BB%A9c-ga-n%E1%BA%A5m-h%C6%B0%C6%A1ng-recipe-step-7-photo.jpg
105,77,https://img-global.cpcdn.com/steps/7610b77bbf0f6d70/160x128cq80/ch%E1%BA%A3-%E1%BB%A9c-ga-n%E1%BA%A5m-h%C6%B0%C6%A1ng-recipe-step-8-photo.jpg
106,84,https://img-global.cpcdn.com/steps/172d25aa91ba270a/160x128cq80/c%E1%BB%A7-c%E1%BA%A3i-xao-tr%E1%BB%A9ng-ga-recipe-step-1-photo.jpg
107,84,https://img-global.cpcdn.com/steps/ec157261225a2045/160x128cq80/c%E1%BB%A7-c%E1%BA%A3i-xao-tr%E1%BB%A9ng-ga-recipe-step-1-photo.jpg
108,85,https://img-global.cpcdn.com/steps/d38087fddc0e5397/160x128cq80/c%E1%BB%A7-c%E1%BA%A3i-xao-tr%E1%BB%A9ng-ga-recipe-step-2-photo.jpg
109,86,https://img-global.cpcdn.com/steps/39185e68c1d8188b/160x128cq80/c%E1%BB%A7-c%E1%BA%A3i-xao-tr%E1%BB%A9ng-ga-recipe-step-3-photo.jpg
110,87,https://img-global.cpcdn.com/steps/eaded9eb3a29a2d7/160x128cq80/th%E1%BB%8Bt-ba-ch%E1%BB%89-kho-h%E1%BB%99t-v%E1%BB%8Bt-recipe-step-1-photo.jpg
111,88,https://img-global.cpcdn.com/steps/bd8576290a1cc7a7/160x128cq80/th%E1%BB%8Bt-ba-ch%E1%BB%89-kho-h%E1%BB%99t-v%E1%BB%8Bt-recipe-step-2-photo.jpg
112,88,https://img-global.cpcdn.com/steps/a6796f7b7d7f17bc/160x128cq80/th%E1%BB%8Bt-ba-ch%E1%BB%89-kho-h%E1%BB%99t-v%E1%BB%8Bt-recipe-step-2-photo.jpg
113,89,https://img-global.cpcdn.com/steps/f14c3f7f1150ef43/160x128cq80/th%E1%BB%8Bt-ba-ch%E1%BB%89-kho-h%E1%BB%99t-v%E1%BB%8Bt-recipe-step-3-photo.jpg
114,89,https://img-global.cpcdn.com/steps/51daee82f14bf25e/160x128cq80/th%E1%BB%8Bt-ba-ch%E1%BB%89-kho-h%E1%BB%99t-v%E1%BB%8Bt-recipe-step-3-photo.jpg
115,89,https://img-global.cpcdn.com/steps/4b1d654ad36db0a0/160x128cq80/th%E1%BB%8Bt-ba-ch%E1%BB%89-kho-h%E1%BB%99t-v%E1%BB%8Bt-recipe-step-3-photo.jpg
116,90,https://img-global.cpcdn.com/steps/568a95aee88e2e89/160x128cq80/th%E1%BB%8Bt-ba-ch%E1%BB%89-kho-h%E1%BB%99t-v%E1%BB%8Bt-recipe-step-4-photo.jpg
117,90,https://img-global.cpcdn.com/steps/6622ba9f683cc500/160x128cq80/th%E1%BB%8Bt-ba-ch%E1%BB%89-kho-h%E1%BB%99t-v%E1%BB%8Bt-recipe-step-4-photo.jpg
118,90,https://img-global.cpcdn.com/steps/0d7474f308fc4736/160x128cq80/th%E1%BB%8Bt-ba-ch%E1%BB%89-kho-h%E1%BB%99t-v%E1%BB%8Bt-recipe-step-4-photo.jpg
119,91,https://img-global.cpcdn.com/steps/49ee745f5a907e76/160x128cq80/h%E1%BB%A7-ti%E1%BA%BFu-bo-recipe-step-1-photo.jpg
120,91,https://img-global.cpcdn.com/steps/a04b1b40a0535cb3/160x128cq80/h%E1%BB%A7-ti%E1%BA%BFu-bo-recipe-step-1-photo.jpg
121,92,https://img-global.cpcdn.com/steps/9a13026a1785cd67/160x128cq80/h%E1%BB%A7-ti%E1%BA%BFu-bo-recipe-step-2-photo.jpg
122,92,https://img-global.cpcdn.com/steps/53ca39daae5fc094/160x128cq80/h%E1%BB%A7-ti%E1%BA%BFu-bo-recipe-step-2-photo.jpg
123,94,https://img-global.cpcdn.com/steps/a0aad9c87ca1e4d2/160x128cq80/h%E1%BB%A7-ti%E1%BA%BFu-bo-recipe-step-4-photo.jpg
124,94,https://img-global.cpcdn.com/steps/8714b2d756bf69fd/160x128cq80/h%E1%BB%A7-ti%E1%BA%BFu-bo-recipe-step-4-photo.jpg
125,94,https://img-global.cpcdn.com/steps/bbe600bfb0aa9b19/160x128cq80/h%E1%BB%A7-ti%E1%BA%BFu-bo-recipe-step-4-photo.jpg
126,95,https://img-global.cpcdn.com/steps/2a34a0a246247821/160x128cq80/bong-ca-chay-rim-me-rang-recipe-step-1-photo.jpg
127,95,https://img-global.cpcdn.com/steps/d683ffa08c4ae6e1/160x128cq80/bong-ca-chay-rim-me-rang-recipe-step-1-photo.jpg
128,96,https://img-global.cpcdn.com/steps/bf05bff9da1fc100/160x128cq80/bong-ca-chay-rim-me-rang-recipe-step-2-photo.jpg
129,96,https://img-global.cpcdn.com/steps/37726822e4348770/160x128cq80/bong-ca-chay-rim-me-rang-recipe-step-2-photo.jpg
130,97,https://img-global.cpcdn.com/steps/0aea23f991585c85/160x128cq80/bong-ca-chay-rim-me-rang-recipe-step-3-photo.jpg
131,98,https://img-global.cpcdn.com/steps/1241e6fe28275c88/160x128cq80/bong-ca-chay-rim-me-rang-recipe-step-4-photo.jpg
132,98,https://img-global.cpcdn.com/steps/7f38551d152facdb/160x128cq80/bong-ca-chay-rim-me-rang-recipe-step-4-photo.jpg
133,99,https://img-global.cpcdn.com/steps/faab7e4b0fa1f92a/160x128cq80/bong-ca-chay-rim-me-rang-recipe-step-5-photo.jpg
134,100,https://img-global.cpcdn.com/steps/79ebb4d7ade35408/160x128cq80/bong-ca-chay-rim-me-rang-recipe-step-6-photo.jpg
135,100,https://img-global.cpcdn.com/steps/3cdcc5e3b46d31ed/160x128cq80/bong-ca-chay-rim-me-rang-recipe-step-6-photo.jpg
136,101,https://img-global.cpcdn.com/steps/bf2a688f79c6155c/160x128cq80/canh-rau-d%E1%BB%81n-n%E1%BA%A5u-ca-c%C6%A1m-recipe-step-1-photo.jpg
137,101,https://img-global.cpcdn.com/steps/cbfcc5bf323e80da/160x128cq80/canh-rau-d%E1%BB%81n-n%E1%BA%A5u-ca-c%C6%A1m-recipe-step-1-photo.jpg
138,101,https://img-global.cpcdn.com/steps/ce99322467726145/160x128cq80/canh-rau-d%E1%BB%81n-n%E1%BA%A5u-ca-c%C6%A1m-recipe-step-1-photo.jpg
139,102,https://img-global.cpcdn.com/steps/08e29bf612931b58/160x128cq80/canh-rau-d%E1%BB%81n-n%E1%BA%A5u-ca-c%C6%A1m-recipe-step-2-photo.jpg
140,102,https://img-global.cpcdn.com/steps/96f6a1519b28d9f8/160x128cq80/canh-rau-d%E1%BB%81n-n%E1%BA%A5u-ca-c%C6%A1m-recipe-step-2-photo.jpg
141,103,https://img-global.cpcdn.com/steps/8d1e1d7a89869345/160x128cq80/canh-rau-d%E1%BB%81n-n%E1%BA%A5u-ca-c%C6%A1m-recipe-step-3-photo.jpg
142,103,https://img-global.cpcdn.com/steps/f4a3dfb4d34e728f/160x128cq80/canh-rau-d%E1%BB%81n-n%E1%BA%A5u-ca-c%C6%A1m-recipe-step-3-photo.jpg
143,103,https://img-global.cpcdn.com/steps/31ce90250a12c0b0/160x128cq80/canh-rau-d%E1%BB%81n-n%E1%BA%A5u-ca-c%C6%A1m-recipe-step-3-photo.jpg
144,109,https://img-global.cpcdn.com/steps/d28a447195272bab/160x128cq80/d%E1%BA%ADu-co-ve-xao-th%E1%BB%8Bt-bo-ca-chua-recipe-step-6-photo.jpg
145,110,https://img-global.cpcdn.com/steps/cc72e397798a8418/160x128cq80/ga-tre-h%E1%BA%A5p-m%E1%BA%AFm-nhi-recipe-step-1-photo.jpg
146,111,https://img-global.cpcdn.com/steps/31610cdab4efff7d/160x128cq80/ga-tre-h%E1%BA%A5p-m%E1%BA%AFm-nhi-recipe-step-2-photo.jpg
147,112,https://img-global.cpcdn.com/steps/64753d3d1f73dd3c/160x128cq80/ga-tre-h%E1%BA%A5p-m%E1%BA%AFm-nhi-recipe-step-3-photo.jpg
